Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
693995;Shklo;Shklo;Shklo,Szklo,Szkło,Шкло;P;PPL;UA;Ukraine;;15;4614;;;6069;;265;Europe/Kyiv;2022-10-27;Ukraine;49.95675, 23.54408
694023;Shyroke;Shyroke;Chyroke,Schyroke,Shiroke,Shiroki,Shirokoye,Shyroke,Siroke,Sirokoe,Sjyroke,xi luo kai,Şıroke,Широке,Широки,Շիրոկոե,希罗凯;P;PPL;UA;Ukraine;;05;1408;;;1001;;144;Europe/Kyiv;2022-10-27;Ukraine;47.95711, 38.2316
694350;Sharhorod;Sharhorod;Charhorod,Shargorod,srhwrwd,srygrwd,Шаргород,שרהורוד,שריגרוד;P;PPL;UA;Ukraine;;23;0506;;;7067;245;237;Europe/Kyiv;2023-01-19;Ukraine;48.73562, 28.08459
695581;Rodynske;Rodynske;Khutor Liman,Krasnyy Liman,Liman,Rodins'ke,Rodinskoe,Rodinskoye,Rodyns'ke,Rodynske,Rodyns’ke,Родинское,Родинське;P;PPL;UA;Ukraine;;05;1416;;;9850;;195;Europe/Kyiv;2024-02-08;Ukraine;48.35415, 37.20641
695872;Rafalivka;Rafalivka;Rafaliuka,Rafalivka,Rafaliwka,Rafalovka,Rafalowka,Rafałówka,Rafálivka,la fa li fu ka,rplybqh,Рафаловка,Рафалівка,Рафаліўка,Ռաֆալովկա,רפליבקה,拉法利夫卡;P;PPL;UA;Ukraine;;19;5602;;;3462;;200;Europe/Kyiv;2022-10-27;Ukraine;51.31143, 25.9956
696760;Pohreby;Pohreby;Pogrebi,Pogreby,Pohreby,Погреби,Погребы;P;PPL;UA;Ukraine;;13;3206;;;2087;;96;Europe/Kyiv;2022-10-27;Ukraine;50.55453, 30.64455
696966;Pidhaitsi;Pidhaitsi;Pidgajci,Pidhaitsi,Pidhajci,Pidhaïtsi,Podgajcy,Podhajce,Подгайцы,Підгайці;P;PPLA2;UA;Ukraine;;22;6104;;;2688;359;377;Europe/Kyiv;2023-03-24;Ukraine;49.2678, 25.12766
697203;Pionerskoye;Pionerskoye;Dzholman,Pioners'ke,Pionerskoe,Pionerskoye,Джолма́н,Пионерское,Піонерське;P;PPL;UA;Ukraine;;11;0116;11152587;;5534;317;346;Europe/Simferopol;2022-10-27;Ukraine;44.88083, 34.20194
697530;Peschanoye;Peschanoye;Alma-Tamak,Peschanoe,Peschanoye,Pishhane,Алма́-Тама́к,Песчаное,Піщане;P;PPLA3;UA;Ukraine;;11;0102;11152818;;820;8;8;Europe/Simferopol;2022-10-27;Ukraine;44.84342, 33.60921
697750;Perechyn;Perechyn;Perechin,Perecin,Perecseny,Pereczyn,Peretchyn,Perečin,Perečín,Pérétchyn,Перечин;P;PPLA2;UA;Ukraine;;25;2110;;;6683;149;159;Europe/Kyiv;2023-08-02;Ukraine;48.73494, 22.47718
